FlightWeek,OriginAirport,OriginCountry,DestinationAirport,DestinationCountry,MainAirlineCarrier,IsConnectingFlight,UserCountry,TripType,CabinClass,NumberOfNights,BookingHorizon,NumberOfRedirects,Revenue
2024-W01,AMS,NL,AGP,ES,LH,0,CZ,one-way,Economy,14,68,4,84.67
2024-W01,AMS,NL,AYT,TR,FR,0,BE,round-trip,Economy,16,33,4,30.99
2024-W01,AMS,NL,DBV,HR,LH,0,DE,round-trip,Economy,14,9,2,97.97
2024-W01,AMS,NL,DLM,TR,LH,0,DE,one-way,Economy,17,14,3,89.44
2024-W01,AMS,NL,DLM,TR,EW,0,AT,round-trip,Business,11,56,0,222.44
2024-W01,AMS,NL,FAO,PT,X3,1,FR,round-trip,Economy,14,64,5,42.13
2024-W01,AMS,NL,HER,GR,EW,0,DE,one-way,Economy,11,33,3,60.67
2024-W01,AMS,NL,IST,TR,VY,0,NL,round-trip,Economy,11,13,3,84.16
2024-W01,AMS,NL,LPA,ES,EW,0,DE,round-trip,Business,15,117,6,215.77
2024-W01,AMS,NL,NAP,IT,TO,0,DE,round-trip,Economy,4,30,3,60.78
2024-W01,AMS,NL,PRG,CZ,DE,0,DE,round-trip,Economy,5,27,2,76.06
2024-W01,AMS,NL,PRG,CZ,DE,0,DE,one-way,Economy,9,37,3,57.39
2024-W01,AMS,NL,SKG,GR,VY,0,FR,round-trip,Economy,25,27,2,47.66
2024-W01,AMS,NL,SKG,GR,EW,1,AT,round-trip,Economy,2,24,0,49.55
2024-W01,AMS,NL,SKP,MK,LH,1,DE,round-trip,Premium Economy,17,55,1,97.04
2024-W01,AMS,NL,TIA,AL,DE,0,DE,round-trip,Economy,2,54,5,97.37
2024-W01,ARN,SE,CFU,GR,AB,1,FR,round-trip,Economy,1,30,5,38.57
2024-W01,ARN,SE,FUE,ES,FR,0,DE,round-trip,Economy,7,41,2,64.27
2024-W01,ARN,SE,NAP,IT,U2,0,DE,round-trip,Economy,4,28,2,52.24
2024-W01,ARN,SE,STR,DE,FR,0,DE,round-trip,Economy,9,33,2,40.32
2024-W01,ARN,SE,TIA,AL,FR,0,DE,round-trip,Economy,3,48,0,70.72
2024-W01,BCN,ES,ATH,GR,LH,0,DK,round-trip,Economy,7,60,0,78.82
2024-W01,BCN,ES,ATH,GR,EW,0,DE,one-way,Economy,8,18,3,87.75
2024-W01,BCN,ES,BCN,ES,U2,0,DE,one-way,Economy,28,25,4,44.88
2024-W01,BCN,ES,BER,DE,FR,0,SE,round-trip,Economy,3,51,3,37.54
2024-W01,BCN,ES,CFU,GR,TO,0,SE,round-trip,Economy,5,14,4,51.37
2024-W01,BCN,ES,CGN,DE,EW,0,DE,round-trip,Economy,1,12,3,66.04
2024-W01,BCN,ES,CTA,IT,EW,0,DE,one-way,Economy,10,14,4,78.48
2024-W01,BCN,ES,DUS,DE,X3,0,CH,round-trip,Premium Economy,4,44,3,94.92
2024-W01,BCN,ES,FUE,ES,LH,0,DE,round-trip,Economy,1,13,3,124.78
2024-W01,BCN,ES,TIA,AL,U2,0,DE,round-trip,Economy,7,180,3,57.92
2024-W01,BER,DE,ACE,ES,VY,0,FR,round-trip,Economy,13,28,1,86.64
2024-W01,BER,DE,ACE,ES,FR,0,DE,round-trip,Economy,3,103,6,79.64
2024-W01,BER,DE,ACE,ES,AB,0,DE,one-way,Economy,6,11,1,67.67
2024-W01,BER,DE,ACE,ES,EW,0,HU,round-trip,Economy,6,28,2,59.49
2024-W01,BER,DE,ACE,ES,W6,1,DE,round-trip,Economy,10,17,3,45.35
2024-W01,BER,DE,AGP,ES,EW,0,DE,round-trip,Economy,5,19,8,49.22
2024-W01,BER,DE,AGP,ES,EW,0,BE,round-trip,Economy,10,20,2,53.84
2024-W01,BER,DE,AGP,ES,AB,0,CH,one-way,Economy,9,37,1,41.77
2024-W01,BER,DE,AGP,ES,AB,0,BE,round-trip,Economy,4,13,2,51.27
2024-W01,BER,DE,ALC,ES,EW,0,HU,round-trip,Economy,7,11,4,66.01
2024-W01,BER,DE,ALC,ES,VY,0,DE,round-trip,Economy,5,22,2,50.62
2024-W01,BER,DE,ALC,ES,FR,0,DE,round-trip,Economy,10,23,3,43.66
2024-W01,BER,DE,ALC,ES,EW,0,CH,round-trip,Premium Economy,14,24,1,101.81
2024-W01,BER,DE,ALC,ES,FR,0,DE,round-trip,Premium Economy,14,74,2,61.78
2024-W01,BER,DE,ATH,GR,LH,0,DE,round-trip,Economy,11,46,2,80.49
2024-W01,BER,DE,ATH,GR,FR,0,DE,round-trip,Economy,5,11,1,62.29
2024-W01,BER,DE,ATH,GR,LH,0,DE,round-trip,Economy,11,20,1,75.12
2024-W01,BER,DE,ATH,GR,LH,0,AT,one-way,Economy,9,9,0,94.13
2024-W01,BER,DE,ATH,GR,FR,0,AT,one-way,Economy,7,58,4,37.5
2024-W01,BER,DE,AYT,TR,LH,0,DE,one-way,Business,5,54,0,250.65
2024-W01,BER,DE,BCN,ES,U2,0,CH,round-trip,Premium Economy,26,35,3,66.74
2024-W01,BER,DE,BCN,ES,X3,0,NL,one-way,Business,8,14,1,237.85
2024-W01,BER,DE,BCN,ES,DE,0,DE,round-trip,Economy,3,49,3,53.41
2024-W01,BER,DE,BCN,ES,FR,0,DE,one-way,Economy,14,117,3,27.14
2024-W01,BER,DE,BCN,ES,U2,0,AT,round-trip,Economy,19,47,1,39.94
2024-W01,BER,DE,BCN,ES,TO,1,AT,round-trip,Economy,2,53,2,41.72
